Area;Element;Item;Year;Unit;Value
Afghanistan;Yield;Wheat;2022;100 g/ha;21250
Albania;Yield;Wheat;2022;100 g/ha;42963
Algeria;Yield;Wheat;2022;100 g/ha;16468
Angola;Yield;Wheat;2022;100 g/ha;8783
Argentina;Yield;Wheat;2022;100 g/ha;33825
Armenia;Yield;Wheat;2022;100 g/ha;24509
Australia;Yield;Wheat;2022;100 g/ha;28470
Austria;Yield;Wheat;2022;100 g/ha;57952
Azerbaijan;Yield;Wheat;2022;100 g/ha;31113
Bangladesh;Yield;Wheat;2022;100 g/ha;34500
Belarus;Yield;Wheat;2022;100 g/ha;29560
Belgium;Yield;Wheat;2022;100 g/ha;90574
Bhutan;Yield;Wheat;2022;100 g/ha;10753
Bolivia (Plurinational State of);Yield;Wheat;2022;100 g/ha;14455
Bosnia and Herzegovina;Yield;Wheat;2022;100 g/ha;54600
Botswana;Yield;Wheat;2022;100 g/ha;15370
Brazil;Yield;Wheat;2022;100 g/ha;32658
Bulgaria;Yield;Wheat;2022;100 g/ha;53438
Burundi;Yield;Wheat;2022;100 g/ha;7343
Cameroon;Yield;Wheat;2022;100 g/ha;13371
Canada;Yield;Wheat;2022;100 g/ha;34056
Chad;Yield;Wheat;2022;100 g/ha;18653
Chile;Yield;Wheat;2022;100 g/ha;58917
China;Yield;Wheat;2022;100 g/ha;58552
China, mainland;Yield;Wheat;2022;100 g/ha;58554
China, Taiwan Province of;Yield;Wheat;2022;100 g/ha;30000
Colombia;Yield;Wheat;2022;100 g/ha;28213
Croatia;Yield;Wheat;2022;100 g/ha;60030
Cyprus;Yield;Wheat;2022;100 g/ha;27281
Czechia;Yield;Wheat;2022;100 g/ha;60727
Democratic People's Republic of Korea;Yield;Wheat;2022;100 g/ha;12457
Democratic Republic of the Congo;Yield;Wheat;2022;100 g/ha;11250
Denmark;Yield;Wheat;2022;100 g/ha;83760
Ecuador;Yield;Wheat;2022;100 g/ha;16908
Egypt;Yield;Wheat;2022;100 g/ha;67820
Eritrea;Yield;Wheat;2022;100 g/ha;10000
Estonia;Yield;Wheat;2022;100 g/ha;47197
Eswatini;Yield;Wheat;2022;100 g/ha;17952
Ethiopia;Yield;Wheat;2022;100 g/ha;30435
Finland;Yield;Wheat;2022;100 g/ha;38511
France;Yield;Wheat;2022;100 g/ha;69967
Georgia;Yield;Wheat;2022;100 g/ha;28509
Germany;Yield;Wheat;2022;100 g/ha;75773
Greece;Yield;Wheat;2022;100 g/ha;29171
Guatemala;Yield;Wheat;2022;100 g/ha;21390
Honduras;Yield;Wheat;2022;100 g/ha;5411
Hungary;Yield;Wheat;2022;100 g/ha;44481
India;Yield;Wheat;2022;100 g/ha;35373
Iran (Islamic Republic of);Yield;Wheat;2022;100 g/ha;16667
Iraq;Yield;Wheat;2022;100 g/ha;27714
Ireland;Yield;Wheat;2022;100 g/ha;104305
Israel;Yield;Wheat;2022;100 g/ha;20900
Italy;Yield;Wheat;2022;100 g/ha;37200
Japan;Yield;Wheat;2022;100 g/ha;43709
Jordan;Yield;Wheat;2022;100 g/ha;10000
Kazakhstan;Yield;Wheat;2022;100 g/ha;12727
Kenya;Yield;Wheat;2022;100 g/ha;21992
Kuwait;Yield;Wheat;2022;100 g/ha;57310
Kyrgyzstan;Yield;Wheat;2022;100 g/ha;25423
Latvia;Yield;Wheat;2022;100 g/ha;47245
Lebanon;Yield;Wheat;2022;100 g/ha;25000
Lesotho;Yield;Wheat;2022;100 g/ha;8107
Libya;Yield;Wheat;2022;100 g/ha;7666
Lithuania;Yield;Wheat;2022;100 g/ha;47350
Luxembourg;Yield;Wheat;2022;100 g/ha;63294
Madagascar;Yield;Wheat;2022;100 g/ha;24060
Malawi;Yield;Wheat;2022;100 g/ha;10000
Mali;Yield;Wheat;2022;100 g/ha;46017
Mauritania;Yield;Wheat;2022;100 g/ha;21564
Mexico;Yield;Wheat;2022;100 g/ha;60933
Mongolia;Yield;Wheat;2022;100 g/ha;11228
Montenegro;Yield;Wheat;2022;100 g/ha;30146
Morocco;Yield;Wheat;2022;100 g/ha;11114
Mozambique;Yield;Wheat;2022;100 g/ha;10000
Myanmar;Yield;Wheat;2022;100 g/ha;14286
Namibia;Yield;Wheat;2022;100 g/ha;57620
Nepal;Yield;Wheat;2022;100 g/ha;29911
Netherlands (Kingdom of the);Yield;Wheat;2022;100 g/ha;93931
New Caledonia;Yield;Wheat;2022;100 g/ha;5562
New Zealand;Yield;Wheat;2022;100 g/ha;93900
Niger;Yield;Wheat;2022;100 g/ha;28194
Nigeria;Yield;Wheat;2022;100 g/ha;11000
North Macedonia;Yield;Wheat;2022;100 g/ha;32041
Norway;Yield;Wheat;2022;100 g/ha;51034
Oman;Yield;Wheat;2022;100 g/ha;20085
Pakistan;Yield;Wheat;2022;100 g/ha;29196
Palestine;Yield;Wheat;2022;100 g/ha;23596
Paraguay;Yield;Wheat;2022;100 g/ha;17008
Peru;Yield;Wheat;2022;100 g/ha;17660
Poland;Yield;Wheat;2022;100 g/ha;52394
Portugal;Yield;Wheat;2022;100 g/ha;19942
Qatar;Yield;Wheat;2022;100 g/ha;21947
Republic of Korea;Yield;Wheat;2022;100 g/ha;37937
Republic of Moldova;Yield;Wheat;2022;100 g/ha;25753
Romania;Yield;Wheat;2022;100 g/ha;40044
Russian Federation;Yield;Wheat;2022;100 g/ha;35508
Rwanda;Yield;Wheat;2022;100 g/ha;11587
Saudi Arabia;Yield;Wheat;2022;100 g/ha;68000
Serbia;Yield;Wheat;2022;100 g/ha;49277
Slovakia;Yield;Wheat;2022;100 g/ha;49750
Slovenia;Yield;Wheat;2022;100 g/ha;54699
Somalia;Yield;Wheat;2022;100 g/ha;4006
South Africa;Yield;Wheat;2022;100 g/ha;36849
Spain;Yield;Wheat;2022;100 g/ha;29957
Sudan;Yield;Wheat;2022;100 g/ha;17000
Sweden;Yield;Wheat;2022;100 g/ha;69950
Switzerland;Yield;Wheat;2022;100 g/ha;54710
Syrian Arab Republic;Yield;Wheat;2022;100 g/ha;13102
Tajikistan;Yield;Wheat;2022;100 g/ha;28000
Thailand;Yield;Wheat;2022;100 g/ha;10563
Tunisia;Yield;Wheat;2022;100 g/ha;19603
T?rkiye;Yield;Wheat;2022;100 g/ha;29916
Turkmenistan;Yield;Wheat;2022;100 g/ha;18076
Uganda;Yield;Wheat;2022;100 g/ha;16667
Ukraine;Yield;Wheat;2022;100 g/ha;39249
United Kingdom of Great Britain and Northern Ireland;Yield;Wheat;2022;100 g/ha;85904
United Republic of Tanzania;Yield;Wheat;2022;100 g/ha;12500
United States of America;Yield;Wheat;2022;100 g/ha;31273
Uruguay;Yield;Wheat;2022;100 g/ha;42501
Uzbekistan;Yield;Wheat;2022;100 g/ha;49878
Venezuela (Bolivarian Republic of);Yield;Wheat;2022;100 g/ha;27929
Yemen;Yield;Wheat;2022;100 g/ha;16667
Zambia;Yield;Wheat;2022;100 g/ha;69986
Zimbabwe;Yield;Wheat;2022;100 g/ha;51680
