Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2022","2022","t","3810000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2022","2022","t","233145","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2022","2022","t","3000000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","024","Angola","5510","Production","0111","Wheat","2022","2022","t","2943.08","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2022","2022","t","22150287","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5510","Production","0111","Wheat","2022","2022","t","138612.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2022","2022","t","36237477.23","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2022","2022","t","1712530","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","0111","Wheat","2022","2022","t","1690831.6","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0111","Wheat","2022","2022","t","1085834","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2022","2022","t","2350000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2022","2022","t","1851870","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5510","Production","0111","Wheat","2022","2022","t","769.78","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","0111","Wheat","2022","2022","t","310729.65","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5510","Production","0111","Wheat","2022","2022","t","281414","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5510","Production","0111","Wheat","2022","2022","t","947.41","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2022","2022","t","10343182","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2022","2022","t","6447770","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5510","Production","0111","Wheat","2022","2022","t","9197.14","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5510","Production","0111","Wheat","2022","2022","t","602.84","I","Imputed value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0111","Wheat","2022","2022","t","34334787","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0111","Wheat","2022","2022","t","1205","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5510","Production","0111","Wheat","2022","2022","t","1106926.47","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0111","Wheat","2022","2022","t","137726000","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","0111","Wheat","2022","2022","t","137720000","A","Official figure",""
